address	distance	customers	trucks	truck_capacity	algorithm	total_distance
1400 Washington Ave, Albany, NY 12222	10000	20	4	25	aco	126.8883571029305
1400 Washington Ave, Albany, NY 12222	10000	99	4	25	ga	360.58538801006705
1400 Washington Ave, Albany, NY 12222	10000	66	4	25	nn	251.06007285851993
1400 Washington Ave, Albany, NY 12222	10000	32	4	25	ga	202.23873489289224
1400 Washington Ave, Albany, NY 12222	10000	16	4	25	nn	117.77797173218472
1400 Washington Ave, Albany, NY 12222	10000	77	4	25	sa	300.40249694099975
1400 Washington Ave, Albany, NY 12222	10000	28	4	25	nn	178.04693045039224
1400 Washington Ave, Albany, NY 12222	10000	49	4	25	ga	185.83031106867008
1400 Washington Ave, Albany, NY 12222	10000	55	4	25	sa	297.64449362811513
1400 Washington Ave, Albany, NY 12222	10000	35	4	25	ga	159.49998020315135
1400 Washington Ave, Albany, NY 12222	10000	98	4	25	aco	342.0866221026529
1400 Washington Ave, Albany, NY 12222	10000	14	4	25	ga	103.14755548305743
1400 Washington Ave, Albany, NY 12222	10000	28	4	25	sa	160.97953643609975
1400 Washington Ave, Albany, NY 12222	10000	14	4	25	ga	93.01093380215563
1400 Washington Ave, Albany, NY 12222	10000	90	4	25	nn	359.37296824130766
1400 Washington Ave, Albany, NY 12222	10000	9	4	25	nn	84.61142964221182
1400 Washington Ave, Albany, NY 12222	10000	54	4	25	aco	221.6258178975394
1400 Washington Ave, Albany, NY 12222	10000	34	4	25	nn	186.38113754228107
1400 Washington Ave, Albany, NY 12222	10000	70	4	25	sa	306.58754109415224
1400 Washington Ave, Albany, NY 12222	10000	82	4	25	ga	316.32539780856445
1400 Washington Ave, Albany, NY 12222	10000	46	4	25	aco	186.9590853839409
1400 Washington Ave, Albany, NY 12222	10000	66	4	25	sa	269.8588111003774
1400 Washington Ave, Albany, NY 12222	10000	100	4	25	nn	375.76989390999506
1400 Washington Ave, Albany, NY 12222	10000	92	4	25	ga	359.116534833405
1400 Washington Ave, Albany, NY 12222	10000	65	4	25	sa	262.1440739785789
1400 Washington Ave, Albany, NY 12222	10000	11	4	25	sa	96.08886157906429
1400 Washington Ave, Albany, NY 12222	10000	52	4	25	nn	231.31386649416038
1400 Washington Ave, Albany, NY 12222	10000	17	4	25	nn	113.95483401153122
1400 Washington Ave, Albany, NY 12222	10000	46	4	25	ga	205.32803783731168
1400 Washington Ave, Albany, NY 12222	10000	90	4	25	aco	262.60867194546677
1400 Washington Ave, Albany, NY 12222	10000	61	4	25	sa	305.59314758489967
1400 Washington Ave, Albany, NY 12222	10000	53	4	25	ga	295.0907614079445
1400 Washington Ave, Albany, NY 12222	10000	5	4	25	ga	86.51679701735593
1400 Washington Ave, Albany, NY 12222	10000	75	4	25	nn	274.63777238409455
1400 Washington Ave, Albany, NY 12222	10000	15	4	25	ga	99.95645884635427
1400 Washington Ave, Albany, NY 12222	10000	69	4	25	aco	256.92928350208354
1400 Washington Ave, Albany, NY 12222	10000	50	4	25	nn	236.26906340467895
1400 Washington Ave, Albany, NY 12222	10000	93	4	25	sa	333.6797840093602
1400 Washington Ave, Albany, NY 12222	10000	84	4	25	ga	318.6832580454882
1400 Washington Ave, Albany, NY 12222	10000	55	4	25	aco	222.86222812345608
1400 Washington Ave, Albany, NY 12222	10000	65	4	25	nn	284.29775296687126
1400 Washington Ave, Albany, NY 12222	10000	55	4	25	sa	259.3444059192049
1400 Washington Ave, Albany, NY 12222	10000	1	4	25	sa	30.94483995077376
1400 Washington Ave, Albany, NY 12222	10000	11	4	25	nn	103.7446857154621
1400 Washington Ave, Albany, NY 12222	10000	46	4	25	ga	213.45745725017315
1400 Washington Ave, Albany, NY 12222	10000	36	4	25	sa	192.85813265236078
1400 Washington Ave, Albany, NY 12222	10000	30	4	25	nn	185.85171946885197
1400 Washington Ave, Albany, NY 12222	10000	9	4	25	sa	79.40061192309153
1400 Washington Ave, Albany, NY 12222	10000	44	4	25	nn	240.71483474192053
1400 Washington Ave, Albany, NY 12222	10000	40	4	25	sa	180.46242406079438
1400 Washington Ave, Albany, NY 12222	10000	36	4	25	nn	196.52700331655288
1400 Washington Ave, Albany, NY 12222	10000	82	4	25	ga	332.1229500176841
1400 Washington Ave, Albany, NY 12222	10000	100	4	25	aco	296.41291739889675
1400 Washington Ave, Albany, NY 12222	10000	60	4	25	sa	291.13548362945266
1400 Washington Ave, Albany, NY 12222	10000	58	4	25	ga	277.5654073395254
1400 Washington Ave, Albany, NY 12222	10000	74	4	25	nn	248.36946339761124
1400 Washington Ave, Albany, NY 12222	10000	14	4	25	ga	109.40852469013033
1400 Washington Ave, Albany, NY 12222	10000	77	4	25	sa	266.7898186513905
1400 Washington Ave, Albany, NY 12222	10000	70	4	25	aco	273.9050832246588
1400 Washington Ave, Albany, NY 12222	10000	38	4	25	ga	196.27407311633482
1400 Washington Ave, Albany, NY 12222	10000	76	4	25	nn	282.74826912668243
1400 Washington Ave, Albany, NY 12222	10000	29	4	25	aco	157.0115895603972
1400 Washington Ave, Albany, NY 12222	10000	47	4	25	sa	228.85607662704325
1400 Washington Ave, Albany, NY 12222	10000	23	4	25	nn	181.31422098141132
1400 Washington Ave, Albany, NY 12222	10000	81	4	25	ga	358.5865917572908
1400 Washington Ave, Albany, NY 12222	10000	50	4	25	sa	277.66367155104945
1400 Washington Ave, Albany, NY 12222	10000	1	4	25	sa	19.57298842360277
1400 Washington Ave, Albany, NY 12222	10000	12	4	25	sa	78.89316618912368
1400 Washington Ave, Albany, NY 12222	10000	48	4	25	nn	233.45046406606951
1400 Washington Ave, Albany, NY 12222	10000	56	4	25	aco	245.07843138055102
1400 Washington Ave, Albany, NY 12222	10000	17	4	25	nn	124.69732775724131
1400 Washington Ave, Albany, NY 12222	10000	23	4	25	aco	114.6982465808686
1400 Washington Ave, Albany, NY 12222	10000	2	4	25	aco	41.949367419775875
1400 Washington Ave, Albany, NY 12222	10000	3	4	25	aco	49.217573871491155
1400 Washington Ave, Albany, NY 12222	10000	44	4	25	nn	189.33286892377663
1400 Washington Ave, Albany, NY 12222	10000	97	4	25	ga	396.1331145468882
1400 Washington Ave, Albany, NY 12222	10000	100	4	25	sa	408.2694797632494
1400 Washington Ave, Albany, NY 12222	10000	20	4	25	sa	109.37459833214308
1400 Washington Ave, Albany, NY 12222	10000	59	4	25	nn	276.62146945862287
1400 Washington Ave, Albany, NY 12222	10000	25	4	25	sa	179.19801849568893
1400 Washington Ave, Albany, NY 12222	10000	86	4	25	aco	337.73814194717096
1400 Washington Ave, Albany, NY 12222	10000	13	4	25	aco	77.02089544936221
1400 Washington Ave, Albany, NY 12222	10000	64	4	25	nn	269.06046072212405
1400 Washington Ave, Albany, NY 12222	10000	97	4	25	ga	370.1580767573121
1400 Washington Ave, Albany, NY 12222	10000	9	4	25	aco	82.34668754492822
1400 Washington Ave, Albany, NY 12222	10000	54	4	25	sa	263.8105251512165
1400 Washington Ave, Albany, NY 12222	10000	3	4	25	sa	17.12214426573294
1400 Washington Ave, Albany, NY 12222	10000	17	4	25	ga	113.16540078189767
1400 Washington Ave, Albany, NY 12222	10000	23	4	25	aco	116.43880638900087
1400 Washington Ave, Albany, NY 12222	10000	24	4	25	aco	125.55781692735545
1400 Washington Ave, Albany, NY 12222	10000	92	4	25	nn	369.8506035542122
1400 Washington Ave, Albany, NY 12222	10000	72	4	25	sa	347.7217545973376
1400 Washington Ave, Albany, NY 12222	10000	5	4	25	sa	36.2705923811749
1400 Washington Ave, Albany, NY 12222	10000	19	4	25	nn	117.06438137340375
1400 Washington Ave, Albany, NY 12222	10000	98	4	25	ga	362.4234780958071
1400 Washington Ave, Albany, NY 12222	10000	94	4	25	sa	357.8842559707798
1400 Washington Ave, Albany, NY 12222	10000	90	4	25	aco	278.2522017205117
1400 Washington Ave, Albany, NY 12222	10000	94	4	25	nn	296.4581302148221
1400 Washington Ave, Albany, NY 12222	10000	79	4	25	ga	362.9364132403236
1400 Washington Ave, Albany, NY 12222	10000	31	4	25	sa	168.208058233034
1400 Washington Ave, Albany, NY 12222	10000	53	4	25	nn	266.0727386588429
1400 Washington Ave, Albany, NY 12222	10000	76	4	25	ga	261.0957777482948
1400 Washington Ave, Albany, NY 12222	10000	70	4	25	sa	274.57234181649545
1400 Washington Ave, Albany, NY 12222	10000	40	4	25	nn	227.14487804003454
1400 Washington Ave, Albany, NY 12222	10000	18	4	25	ga	126.94539423008587
1400 Washington Ave, Albany, NY 12222	10000	93	4	25	aco	306.580592121355
1400 Washington Ave, Albany, NY 12222	10000	81	4	25	nn	328.9518820216332
1400 Washington Ave, Albany, NY 12222	10000	85	4	25	sa	323.40530125629806
1400 Washington Ave, Albany, NY 12222	10000	9	4	25	sa	75.05400558008719
1400 Washington Ave, Albany, NY 12222	10000	21	4	25	nn	114.85189537987392
1400 Washington Ave, Albany, NY 12222	10000	95	4	25	ga	324.382333549066
1400 Washington Ave, Albany, NY 12222	10000	58	4	25	aco	244.38575641057727
1400 Washington Ave, Albany, NY 12222	10000	7	4	25	aco	51.3901132520721
1400 Washington Ave, Albany, NY 12222	10000	43	4	25	nn	222.19524263883983
1400 Washington Ave, Albany, NY 12222	10000	54	4	25	sa	313.17889313329545
1400 Washington Ave, Albany, NY 12222	10000	54	4	25	nn	238.1572928892397
1400 Washington Ave, Albany, NY 12222	10000	60	4	25	aco	268.21453785907914
1400 Washington Ave, Albany, NY 12222	10000	93	4	25	ga	307.91104191940707
1400 Washington Ave, Albany, NY 12222	10000	12	4	25	ga	54.061358328729604
1400 Washington Ave, Albany, NY 12222	10000	87	4	25	sa	342.2679444429849
1400 Washington Ave, Albany, NY 12222	10000	2	4	25	sa	10.851086945007694
1400 Washington Ave, Albany, NY 12222	10000	75	4	25	nn	335.8409962569554
1400 Washington Ave, Albany, NY 12222	10000	41	4	25	nn	218.5201651720428
1400 Washington Ave, Albany, NY 12222	10000	94	4	25	ga	375.4049255467634
1400 Washington Ave, Albany, NY 12222	10000	9	4	25	nn	95.97884036001386
1400 Washington Ave, Albany, NY 12222	10000	92	4	25	aco	283.7270722356769
1400 Washington Ave, Albany, NY 12222	10000	100	4	25	sa	370.19555042163546
1400 Washington Ave, Albany, NY 12222	10000	60	4	25	nn	311.0584966554467
1400 Washington Ave, Albany, NY 12222	10000	40	4	25	aco	179.44168020890245
1400 Washington Ave, Albany, NY 12222	10000	85	4	25	ga	361.09879786674145
1400 Washington Ave, Albany, NY 12222	10000	37	4	25	nn	189.9330558060712
1400 Washington Ave, Albany, NY 12222	10000	100	4	25	sa	361.42218523990175
1400 Washington Ave, Albany, NY 12222	10000	27	4	25	nn	183.93587063017748
1400 Washington Ave, Albany, NY 12222	10000	36	4	25	ga	174.65396969468537
